filename,width,height,xmin,ymin,xmax,ymax
127-03,720,720,321,417,504,552
128-01,720,720,269,203,437,399
129-01,720,720,248,285,351,374
129-02,720,720,329,378,427,431
13-01,720,720,160,288,396,433
13-02,720,720,269,150,499,219
13-03,720,720,490,27,594,65
13-04,720,720,619,11,693,39
130-01,720,720,295,270,426,340
130-02,720,720,401,236,449,271
131-01,720,720,271,383,374,471
132-01,720,720,97,222,584,434
132-02,720,720,0,195,45,236
133-01,720,720,305,287,436,348
134-01,720,720,290,274,422,399
134-02,720,720,125,41,215,121
135-01,720,720,149,293,520,489
135-02,720,720,514,431,619,509
135-03,720,720,513,53,720,142
135-04,720,720,270,200,354,249
136-01,720,720,290,261,400,390
137-01,720,720,299,279,461,421
138-01,720,720,324,312,438,368
139-01,720,720,278,260,429,397
14-01,720,720,144,246,636,524
14-02,720,720,35,196,142,258
140-01,720,720,304,342,505,489
140-02,720,720,165,74,420,188
141-01,720,720,400,444,504,523
141-02,720,720,283,359,427,464
141-03,720,720,207,293,325,380
141-04,720,720,0,168,141,279
142-01,720,720,181,299,538,397
143-01,720,720,275,318,441,426
144-01,720,720,259,354,429,464
144-02,720,720,31,201,103,246
145-01,720,720,288,320,435,411
146-01,720,720,153,253,439,421
147-01,720,720,312,299,410,418
147-02,720,720,413,220,479,278
148-01,720,720,254,246,385,383
148-02,720,720,663,121,720,161
149-01,720,720,195,233,506,351
15-01,720,720,249,322,462,433
150-01,720,720,216,279,559,400
151-01,720,720,269,269,483,409
152-01,720,720,261,262,343,306
152-02,720,720,309,313,496,369
152-03,720,720,385,496,508,555
152-04,720,720,470,607,584,692
152-05,720,720,201,629,290,683
153-01,720,720,297,297,425,387
154-01,720,720,94,242,539,642
155-01,720,720,420,248,583,378
155-02,720,720,407,474,533,608
155-03,720,720,247,330,309,393
156-01,720,720,204,255,452,425
156-02,720,720,448,145,573,193
157-01,720,720,243,260,437,379
157-02,720,720,202,207,266,241
158-01,720,720,297,292,462,409
158-02,720,720,158,337,293,422
159-01,720,720,304,304,437,407
159-02,720,720,423,577,481,620
159-03,720,720,225,202,346,288
16-01,720,720,258,279,452,460
160-01,720,720,491,1,683,165
160-02,720,720,371,289,523,428
160-03,720,720,233,395,443,541
160-04,720,720,581,131,693,232
161-01,720,720,281,289,420,383
162-01,720,720,221,246,480,386
163-01,720,720,257,282,517,487
163-02,720,720,662,216,720,267
164-01,720,720,220,286,489,424
165-01,720,720,225,311,486,446
166-01,720,720,250,274,468,426
166-02,720,720,64,305,119,358
167-01,720,720,279,263,470,407
167-02,720,720,166,403,321,500
167-03,720,720,202,56,276,84
168-01,720,720,242,262,475,358
168-02,720,720,79,95,146,139
169-01,720,720,154,259,465,418
17-01,720,720,124,313,416,507
17-02,720,720,522,239,675,358
170-01,720,720,330,243,429,291
170-02,720,720,230,495,377,589
171-01,720,720,244,191,485,347
172-01,720,720,208,69,384,143
172-02,720,720,13,184,105,273
172-03,720,720,0,1,77,61
172-04,720,720,38,1,171,39
172-05,720,720,223,342,576,558
173-01,720,720,226,251,488,359
173-02,720,720,211,363,509,456
174-01,720,720,259,371,533,504
175-01,720,720,178,230,405,438
175-02,720,720,392,277,535,469
175-03,720,720,416,18,498,95
176-01,720,720,257,283,454,401
176-02,720,720,63,267,173,337
177-01,720,720,255,248,444,366
178-01,720,720,261,315,453,417
178-02,720,720,12,412,163,491
178-03,720,720,0,343,77,408
179-01,720,720,295,249,457,468
179-02,720,720,205,221,300,383
179-03,720,720,94,239,215,375
179-04,720,720,274,27,381,140
179-05,720,720,573,59,673,126
18-01,720,720,269,215,405,301
18-02,720,720,309,332,487,421
18-03,720,720,134,487,218,546
18-04,720,720,55,108,147,152
18-05,720,720,0,80,52,111
180-01,720,720,218,279,507,421
181-01,720,720,291,333,466,455
182-01,720,720,285,287,443,442
182-02,720,720,0,216,99,311
182-03,720,720,417,647,551,720
183-01,720,720,175,224,489,466
184-01,720,720,23,24,52,34
184-02,720,720,0,46,36,68
184-03,720,720,55,30,109,54
184-04,720,720,84,0,117,10
184-05,720,720,58,13,85,24
184-06,720,720,35,0,70,10
184-07,720,720,11,0,34,4
184-08,720,720,0,3,16,13
184-09,720,720,300,255,394,322
184-010,720,720,530,145,558,164
184-011,720,720,362,572,403,606
185-01,720,720,261,269,483,476
186-01,720,720,122,316,412,453
186-02,720,720,441,263,684,385
187-01,720,720,233,282,472,420
188-01,720,720,266,227,410,329
188-02,720,720,299,349,430,438
188-03,720,720,432,258,588,350
189-01,720,720,261,278,468,412
19-01,720,720,270,227,417,339
19-02,720,720,162,395,297,486
190-01,720,720,161,253,472,443
190-02,720,720,472,419,630,506
191-01,720,720,271,335,467,494
191-02,720,720,272,237,393,297
191-03,720,720,163,402,235,446
192-01,720,720,276,294,415,397
193-01,720,720,272,347,361,400
193-02,720,720,566,380,638,418
194-01,720,720,261,290,469,419
195-01,720,720,117,147,276,219
195-02,720,720,182,266,437,481
196-01,720,720,274,301,490,416
196-02,720,720,470,200,535,238
196-03,720,720,301,229,462,305
197-01,720,720,338,346,485,443
197-02,720,720,459,320,539,375
197-03,720,720,205,400,364,524
198-01,720,720,194,224,349,277
198-02,720,720,140,273,367,356
198-03,720,720,301,356,351,396
198-04,720,720,370,378,600,483
199-01,720,720,245,312,427,552
199-02,720,720,420,308,529,402
2-01,720,720,307,234,458,325
2-02,720,720,264,299,363,382
2-03,720,720,190,423,257,503
20-01,720,720,231,248,345,313
20-02,720,720,157,183,219,227
20-03,720,720,275,304,440,425
200-01,720,720,202,358,288,403
200-02,720,720,273,319,406,392
200-03,720,720,398,293,501,360
200-04,720,720,665,165,720,229
201-01,720,720,218,224,588,516
202-01,720,720,292,374,372,451
202-02,720,720,285,296,408,376
202-03,720,720,302,236,413,292
202-04,720,720,294,47,380,158
202-05,720,720,152,509,204,564
202-06,720,720,39,481,95,589
202-07,720,720,297,670,370,718
203-01,720,720,185,296,425,403
203-02,720,720,619,302,684,366
203-03,720,720,397,231,598,325
204-01,720,720,190,175,358,315
204-02,720,720,281,381,447,519
205-01,720,720,274,166,715,384
205-02,720,720,0,412,326,607
206-01,720,720,216,291,487,464
206-02,720,720,76,658,237,720
207-01,720,720,183,269,554,503
207-02,720,720,324,569,489,719
208-01,720,720,287,158,446,294
208-02,720,720,415,368,533,511
208-03,720,720,271,437,419,584
209-01,720,720,297,206,507,399
21-01,720,720,244,262,504,534
21-02,720,720,0,595,157,719
210-01,720,720,194,123,518,455
210-02,720,720,22,633,143,720
211-01,720,720,234,262,532,438
212-01,720,720,283,256,484,442
213-01,720,720,244,238,472,440
214-01,720,720,256,298,402,415
215-01,720,720,213,202,371,373
216-01,720,720,300,284,483,375
216-02,720,720,257,136,402,223
216-03,720,720,456,440,553,494
217-01,720,720,354,380,449,483
217-02,720,720,283,531,368,606
218-01,720,720,264,264,422,435
218-02,720,720,624,68,720,116
219-01,720,720,192,253,494,391
22-01,720,720,257,348,422,602
220-01,720,720,193,249,463,423
220-02,720,720,435,628,602,704
221-01,720,720,257,315,387,401
221-02,720,720,260,132,303,169
222-01,720,720,254,223,445,498
223-01,720,720,327,315,436,428
224-01,720,720,257,300,463,471
225-01,720,720,86,125,124,145
225-02,720,720,278,246,380,322
225-03,720,720,390,18,453,48
225-04,720,720,347,0,377,19
226-01,720,720,190,325,437,491
227-01,720,720,205,205,472,333
227-02,720,720,26,539,720,720
228-01,720,720,265,266,495,464
229-01,720,720,279,268,399,338
229-02,720,720,320,316,490,426
229-03,720,720,0,550,123,673
23-01,720,720,175,183,607,332
23-02,720,720,118,169,172,195
23-03,720,720,0,12,67,52
23-04,720,720,173,551,343,711
23-05,720,720,284,138,443,189
230-01,720,720,251,320,475,441
230-02,720,720,422,131,508,164
230-03,720,720,201,120,272,144
231-01,720,720,245,219,483,390
231-02,720,720,336,67,422,97
232-01,720,720,317,160,410,236
232-02,720,720,221,495,391,664
232-03,720,720,92,15,135,42
232-04,720,720,412,0,478,41
233-01,720,720,270,250,470,402
233-02,720,720,380,206,444,248
234-01,720,720,298,323,410,403
235-01,720,720,228,197,503,464
236-01,720,720,247,231,410,350
236-02,720,720,24,136,139,211
236-03,720,720,278,423,499,619
237-01,720,720,251,191,509,397
237-02,720,720,213,219,333,301
237-03,720,720,156,376,221,419
237-04,720,720,0,562,102,662
237-05,720,720,688,411,720,500
238-01,720,720,203,311,480,435
239-01,720,720,232,272,455,404
24-01,720,720,284,313,418,421
24-02,720,720,348,73,449,133
240-01,720,720,281,243,456,457
240-02,720,720,332,28,367,56
240-03,720,720,384,44,420,59
240-04,720,720,387,23,426,42
241-01,720,720,207,108,304,166
241-02,720,720,357,201,522,311
241-03,720,720,494,211,644,292
241-04,720,720,334,279,403,315
241-05,720,720,221,320,391,481
241-06,720,720,393,345,527,423
241-07,720,720,420,541,519,683
242-01,720,720,214,317,487,474
243-01,720,720,242,339,462,409
244-01,720,720,240,307,465,492
244-02,720,720,578,342,720,455
245-01,720,720,246,295,409,411
245-02,720,720,360,222,463,311
246-01,720,720,188,273,437,414
246-02,720,720,298,141,458,257
247-01,720,720,261,275,449,397
248-01,720,720,125,247,475,421
248-02,720,720,581,50,720,106
248-03,720,720,212,44,333,83
249-01,720,720,222,292,475,479
25-01,720,720,215,257,597,481
250-01,720,720,129,274,619,481
251-01,720,720,213,291,577,523
252-01,720,720,119,165,311,251
252-02,720,720,510,379,631,452
252-03,720,720,396,446,580,567
253-01,720,720,241,303,600,397
254-01,720,720,221,270,470,414
255-01,720,720,282,312,419,368
256-01,720,720,223,387,382,577
256-02,720,720,333,54,429,152
257-01,720,720,261,310,415,505
257-02,720,720,425,108,486,143
258-01,720,720,260,306,465,411
259-01,720,720,249,243,464,413
259-02,720,720,192,107,255,165
26-01,720,720,288,296,434,411
26-02,720,720,662,320,720,369
260-01,720,720,197,272,449,378
261-01,720,720,213,251,483,409
262-01,720,720,276,263,377,349
263-01,720,720,228,241,444,362
264-01,720,720,211,186,497,372
265-01,720,720,38,354,112,417
265-02,720,720,321,311,563,433
265-03,720,720,81,198,241,303
266-01,720,720,228,263,465,421
266-02,720,720,531,487,590,534
267-01,720,720,264,281,378,356
267-02,720,720,330,351,452,515
267-03,720,720,67,352,261,494
267-04,720,720,607,0,720,35
268-01,720,720,258,195,494,414
269-01,720,720,278,323,386,435
269-02,720,720,602,497,661,553
27-01,720,720,305,325,398,408
270-01,720,720,273,282,420,375
270-02,720,720,0,66,135,120
271-01,720,720,168,239,531,403
272-01,720,720,264,265,470,382
272-02,720,720,578,308,720,385
273-01,720,720,294,326,446,390
273-02,720,720,161,578,720,720
274-01,720,720,353,240,475,298
274-02,720,720,189,323,419,406
274-03,720,720,141,223,301,292
275-01,720,720,235,279,548,446
276-01,720,720,266,307,485,483
277-01,720,720,263,294,405,374
278-01,720,720,407,140,498,251
278-02,720,720,210,387,301,507
279-01,720,720,302,291,441,417
28-01,720,720,288,260,451,393
28-02,720,720,504,165,571,229
28-03,720,720,595,111,666,156
28-04,720,720,641,385,715,462
280-01,720,720,243,280,449,438
281-01,720,720,158,235,575,392
282-01,720,720,256,224,412,360
282-02,720,720,160,396,249,483
283-01,720,720,215,269,427,422
283-02,720,720,441,224,496,274
283-03,720,720,103,112,211,159
284-01,720,720,256,258,456,425
284-02,720,720,160,278,245,452
285-01,720,720,242,268,456,473
286-01,400,300,143,159,234,205
286-02,400,300,194,210,249,232
286-03,400,300,192,77,212,92
287-01,401,300,15,90,353,282
288-01,533,300,217,27,283,67
288-02,533,300,331,33,386,58
288-03,533,300,201,179,231,195
288-04,533,300,435,223,529,268
288-05,533,300,309,237,418,287
289-01,300,442,91,275,198,391
29-01,720,720,302,270,456,385
29-02,720,720,426,374,497,430
290-01,533,300,1,154,533,300
291-01,536,300,66,188,389,300
292-01,300,444,5,138,164,239
292-02,300,444,22,17,65,33
292-03,300,444,20,1,59,8
293-01,400,300,161,135,264,185
293-02,400,300,298,82,345,98
293-03,400,300,102,109,161,129
293-04,400,300,52,215,124,245
294-01,534,300,351,252,430,292
294-02,534,300,263,238,299,256
294-03,534,300,196,191,212,202
294-04,534,300,174,194,190,202
295-01,533,300,67,110,465,268
296-01,544,300,15,19,510,300
297-01,533,300,271,122,309,141
297-02,533,300,288,108,321,126
297-03,533,300,245,96,287,110
297-04,533,300,183,142,333,189
297-05,533,300,89,201,407,298
298-01,449,300,104,83,221,127
298-02,449,300,265,125,332,155
299-01,453,300,201,37,317,121
299-02,453,300,41,123,245,291
299-03,453,300,15,1,178,74
3-01,720,720,273,264,497,468
30-01,720,720,266,252,456,483
30-02,720,720,0,179,44,240
30-03,720,720,233,112,281,157
300-01,300,300,22,144,252,186
300-02,300,300,2,112,147,129
300-03,300,300,94,81,157,96
300-04,300,300,1,192,300,287
301-01,534,300,245,177,393,248
301-02,534,300,422,124,534,170
301-03,534,300,491,283,534,300
301-04,534,300,441,198,482,218
301-05,534,300,479,188,533,202
302-01,400,300,32,90,259,262
303-01,456,300,246,115,441,159
303-02,456,300,159,97,237,155
304-01,503,300,264,57,503,198
304-02,503,300,1,78,249,256
305-01,574,300,236,138,288,173
305-02,574,300,378,189,484,250
306-01,533,300,85,112,322,271
306-02,533,300,418,158,533,276
307-01,571,300,197,8,428,273
308-01,400,300,190,151,283,201
309-01,533,300,1,58,529,207
31-01,720,720,229,280,439,411
310-01,451,300,144,138,252,163
310-02,451,300,341,100,414,118
310-03,451,300,149,159,417,274
311-01,450,300,104,94,440,300
312-01,533,300,8,118,497,246
313-01,400,300,49,130,88,143
313-02,400,300,1,146,400,300
314-01,450,300,111,60,275,263
315-01,450,300,155,175,329,258
315-02,450,300,14,194,57,220
315-03,450,300,377,124,443,139
315-04,450,300,233,130,257,140
315-05,450,300,367,209,411,226
316-01,458,300,38,97,267,252
317-01,450,300,143,96,305,186
318-01,489,300,127,195,412,285
319-01,300,369,71,136,236,212
32-01,720,720,110,147,253,234
32-02,720,720,254,278,505,501
320-01,688,300,34,103,644,230
320-02,688,300,276,23,362,58
321-01,300,300,1,112,254,252
322-01,453,300,16,73,440,230
323-01,426,300,163,149,286,185
323-02,426,300,42,197,424,292
323-03,426,300,1,176,71,211
323-04,426,300,313,139,373,150
323-05,426,300,282,116,363,125
324-01,450,300,210,148,397,280
325-01,533,300,92,128,135,149
325-02,533,300,155,74,252,115
325-03,533,300,325,59,375,74
325-04,533,300,306,78,353,103
325-05,533,300,335,114,375,136
325-06,533,300,422,192,531,273
326-01,442,300,95,51,300,201
327-01,600,300,21,118,138,158
327-02,600,300,129,54,466,233
328-01,418,300,207,216,256,234
328-02,418,300,152,202,184,212
328-03,418,300,55,251,190,287
328-04,418,300,145,231,185,247
329-01,667,300,313,243,338,253
329-02,667,300,291,219,324,228
329-03,667,300,461,234,493,250
329-04,667,300,509,263,550,278
329-05,667,300,352,272,374,286
329-06,667,300,379,245,430,253
33-01,720,720,255,258,433,358
33-02,720,720,524,339,638,429
330-01,300,400,25,182,246,386
330-02,300,400,79,29,216,92
331-01,366,300,188,214,283,275
331-02,366,300,202,135,278,162
331-03,366,300,244,110,310,125
331-04,366,300,259,89,304,101
331-05,366,300,234,81,273,91
331-06,366,300,219,74,254,82
331-07,366,300,249,62,273,70
331-08,366,300,139,117,184,131
331-09,366,300,147,105,179,117
331-010,366,300,184,91,211,100
331-011,366,300,126,94,159,104
331-012,366,300,112,107,135,116
331-013,366,300,6,212,51,242
332-01,480,300,119,201,358,247
332-02,480,300,146,159,235,172
332-03,480,300,278,135,399,146
332-04,480,300,135,90,272,111
332-05,480,300,159,59,215,69
333-01,451,300,1,179,26,195
333-02,451,300,1,161,55,173
333-03,451,300,74,167,112,179
333-04,451,300,102,194,225,235
334-01,536,300,104,39,260,99
334-02,536,300,403,21,470,46
334-03,536,300,446,46,504,63
334-04,536,300,190,141,476,300
335-01,400,300,270,86,377,141
335-02,400,300,220,33,286,63
335-03,400,300,292,32,333,47
335-04,400,300,1,83,133,140
335-05,400,300,340,34,396,66
336-01,300,403,144,98,212,129
336-02,300,403,90,130,143,146
336-03,300,403,64,166,300,333
337-01,482,300,153,92,346,178
338-01,400,300,62,74,370,257
339-01,553,300,249,101,273,115
34-01,720,720,99,244,611,570
340-01,450,300,7,74,217,137
340-02,450,300,206,106,450,151
341-01,453,300,35,204,240,300
341-02,453,300,261,127,312,160
341-03,453,300,383,135,453,173
342-01,450,300,1,143,375,300
343-01,540,300,1,139,540,300
344-01,449,300,244,65,333,83
344-02,449,300,300,1,374,12
344-03,449,300,141,124,231,161
344-04,449,300,118,161,255,202
344-05,449,300,166,207,307,266
345-01,514,300,98,198,418,237
345-02,514,300,1,278,98,300
346-01,345,300,74,103,295,300
346-02,345,300,155,50,211,79
346-03,345,300,245,53,279,73
346-04,345,300,261,78,280,92
347-01,400,300,114,80,283,178
348-01,362,300,5,21,299,300
349-01,452,300,336,114,381,137
349-02,452,300,61,123,227,226
349-03,452,300,268,175,300,187
349-04,452,300,312,236,342,251
349-05,452,300,297,255,315,265
349-06,452,300,207,79,221,87
35-01,720,720,273,275,423,354
350-01,452,300,80,121,146,135
350-02,452,300,172,100,249,112
350-03,452,300,69,139,314,300
350-04,452,300,202,111,382,144
350-05,452,300,215,94,294,114
351-01,533,300,1,101,468,300
352-01,400,300,81,133,355,299
352-02,400,300,236,102,280,131
353-01,400,300,199,163,235,185
353-02,400,300,174,140,229,162
353-03,400,300,168,118,222,140
354-01,400,300,108,198,170,219
354-02,400,300,190,164,281,193
354-03,400,300,260,249,333,279
354-04,400,300,82,284,165,300
354-05,400,300,320,203,359,214
355-01,300,400,135,186,182,221
356-01,533,300,85,216,226,287
357-01,453,300,100,126,350,213
358-01,400,300,4,137,90,187
358-02,400,300,97,124,343,220
359-01,450,300,17,88,146,121
359-02,450,300,41,73,72,85
359-03,450,300,27,125,413,245
36-01,720,720,258,335,417,506
360-01,300,442,121,273,219,347
360-02,300,442,178,400,260,435
360-03,300,442,189,261,262,295
360-04,300,442,209,234,300,251
360-05,300,442,136,202,224,220
360-06,300,442,134,191,216,198
360-07,300,442,131,171,172,180
361-01,533,300,246,58,493,238
362-01,480,300,169,239,285,268
362-02,480,300,52,217,202,245
363-01,300,400,65,122,229,299
364-01,451,300,104,196,328,300
365-01,571,300,426,119,487,135
365-02,571,300,411,135,571,185
365-03,571,300,1,136,348,243
365-04,571,300,430,223,571,300
366-01,462,300,9,123,387,247
367-01,449,300,150,81,258,210
368-01,533,300,106,198,147,225
368-02,533,300,158,160,256,211
368-03,533,300,218,248,313,294
368-04,533,300,310,170,333,182
368-05,533,300,270,74,311,82
369-01,533,300,1,50,471,300
37-01,720,720,180,323,396,425
37-02,720,720,305,273,525,331
37-03,720,720,537,285,626,333
370-01,695,300,164,209,345,289
371-01,600,300,356,52,447,138
372-01,479,300,141,157,310,251
373-01,450,300,104,133,348,263
374-01,383,300,92,196,269,276
374-02,383,300,226,98,349,116
374-03,383,300,1,89,42,97
375-01,450,300,105,225,200,260
375-02,450,300,162,187,216,199
376-01,530,300,158,164,235,185
376-02,530,300,319,186,386,211
377-01,534,300,235,53,284,62
377-02,534,300,135,133,392,259
378-01,400,300,209,158,366,263
379-01,425,300,128,166,289,220
38-01,720,720,239,220,465,447
38-02,720,720,397,168,462,211
380-01,450,300,54,39,393,242
381-01,300,400,57,126,254,309
382-01,451,300,4,216,172,245
382-02,451,300,83,192,199,213
382-03,451,300,233,168,297,176
383-01,425,300,49,157,99,172
383-02,425,300,99,182,138,200
383-03,425,300,151,153,194,166
383-04,425,300,245,168,299,186
383-05,425,300,142,213,287,253
383-06,425,300,1,127,51,138
383-07,425,300,116,122,145,130
384-01,402,300,146,101,360,259
384-02,402,300,34,54,151,118
385-01,457,300,33,73,441,278
386-01,494,300,118,66,485,276
387-01,401,300,129,137,324,209
387-02,401,300,339,183,401,208
388-01,400,300,148,137,225,213
388-02,400,300,178,92,201,104
389-01,480,300,174,96,265,123
389-02,480,300,325,100,438,115
389-03,480,300,254,70,319,78
389-04,480,300,200,133,241,150
389-05,480,300,2,160,243,300
39-01,720,720,204,211,470,503
390-01,300,400,60,30,247,328
391-01,400,300,296,214,338,244
391-02,400,300,134,84,290,183
391-03,400,300,76,65,153,101
391-04,400,300,17,50,55,73
391-05,400,300,1,28,22,43
392-01,449,300,215,191,301,210
392-02,449,300,205,286,395,300
393-01,450,300,157,99,296,142
393-02,450,300,153,198,281,257
394-01,450,300,1,150,139,235
394-02,450,300,131,2,433,138
395-01,451,300,218,146,248,157
395-02,451,300,29,210,114,253
395-03,451,300,162,221,267,263
396-01,533,300,1,39,533,246
397-01,533,300,337,248,398,273
397-02,533,300,178,147,281,169
397-03,533,300,147,118,225,147
398-01,684,300,31,40,607,300
399-01,447,300,342,137,369,153
399-02,447,300,222,96,334,118
399-03,447,300,3,146,109,233
399-04,447,300,1,237,46,300
399-05,447,300,168,214,334,294
399-06,447,300,322,197,357,219
399-07,447,300,206,150,264,174
399-08,447,300,160,182,187,194
399-09,447,300,138,119,165,132
399-010,447,300,290,125,340,145
399-011,447,300,312,153,333,163
399-012,447,300,362,176,387,193
399-013,447,300,344,225,371,243
399-014,447,300,134,90,210,103
4-01,720,720,177,273,576,539
40-01,720,720,270,224,478,477
400-01,533,300,164,90,452,294
401-01,533,300,155,189,466,239
402-01,449,300,201,14,317,147
403-01,527,300,139,160,491,269
404-01,467,300,165,90,389,266
404-02,467,300,90,150,136,174
404-03,467,300,57,89,103,118
405-01,400,300,78,201,191,299
405-02,400,300,1,104,131,170
405-03,400,300,132,124,173,151
405-04,400,300,195,156,313,227
405-05,400,300,203,111,311,150
405-06,400,300,244,84,302,105
405-07,400,300,159,80,210,96
405-08,400,300,368,163,400,195
406-01,454,300,74,42,454,282
407-01,400,300,66,184,128,196
407-02,400,300,38,218,104,242
407-03,400,300,151,233,269,287
407-04,400,300,298,180,343,192
407-05,400,300,308,208,379,231
407-06,400,300,365,244,400,284
407-07,400,300,162,142,235,156
407-08,400,300,110,126,135,137
407-09,400,300,159,105,192,113
408-01,450,300,214,177,289,197
408-02,450,300,271,157,298,166
408-03,450,300,116,219,258,298
409-01,455,300,12,186,107,239
409-02,455,300,170,64,413,145
409-03,455,300,274,189,342,258
41-01,720,720,167,233,562,399
41-02,720,720,506,118,720,200
410-01,400,300,164,91,333,234
411-01,442,300,201,216,299,271
411-02,442,300,209,137,289,165
411-03,442,300,252,112,316,131
411-04,442,300,266,94,311,106
411-05,442,300,212,104,268,121
411-06,442,300,154,122,198,135
411-07,442,300,157,111,193,122
411-08,442,300,196,97,219,104
411-09,442,300,244,87,277,95
411-010,442,300,228,80,263,88
411-011,442,300,26,214,70,241
411-012,442,300,257,69,281,76
411-013,442,300,139,100,174,110
412-01,450,300,143,160,331,273
412-02,450,300,1,130,51,154
413-01,533,300,78,156,163,174
413-02,533,300,236,123,322,137
413-03,533,300,277,147,401,177
414-01,439,300,21,108,327,258
415-01,400,300,150,138,261,184
415-02,400,300,84,79,158,97
415-03,400,300,273,164,273,165
416-01,461,300,42,64,146,96
416-02,461,300,144,110,371,211
417-01,480,300,85,95,421,251
418-01,450,300,33,145,88,159
418-02,450,300,1,164,43,187
418-03,450,300,1,227,90,257
418-04,450,300,150,158,238,193
418-05,450,300,276,117,338,139
418-06,450,300,257,95,291,103
418-07,450,300,1,85,39,101
419-01,451,300,1,161,154,300
419-02,451,300,208,14,344,201
42-01,720,720,368,386,509,480
42-02,720,720,41,265,386,381
420-01,450,300,68,106,352,215
421-01,533,300,118,201,244,237
421-02,533,300,268,202,342,245
421-03,533,300,382,216,440,253
421-04,533,300,318,83,335,94
422-01,450,300,46,158,446,288
423-01,443,300,118,152,291,232
424-01,533,300,49,93,468,245
425-01,400,300,89,201,223,250
425-02,400,300,230,165,386,195
426-01,600,300,1,52,438,272
427-01,300,300,43,75,241,181
428-01,300,356,87,291,197,341
428-02,300,356,61,212,118,234
428-03,300,356,157,191,210,212
428-04,300,356,159,159,191,171
428-05,300,356,123,158,156,167
428-06,300,356,143,133,181,141
429-01,533,300,52,68,486,189
429-02,533,300,41,220,211,288
43-01,720,720,257,115,545,263
43-02,720,720,156,465,328,720
43-03,720,720,0,127,58,207
430-01,451,300,225,230,371,277
430-02,451,300,128,51,170,63
431-01,533,300,92,176,177,206
431-02,533,300,119,197,435,255
431-03,533,300,273,256,533,300
431-04,533,300,110,281,204,299
432-01,482,300,99,54,362,209
433-01,400,300,138,85,276,199
433-02,400,300,58,7,171,91
434-01,450,300,177,154,409,278
435-01,601,300,335,227,516,282
436-01,534,300,484,184,527,198
436-02,534,300,376,168,462,197
436-03,534,300,300,156,346,182
436-04,534,300,239,147,302,182
436-05,534,300,252,128,276,141
436-06,534,300,163,135,213,148
436-07,534,300,109,188,309,234
437-01,533,300,1,108,533,257
438-01,400,300,257,54,378,126
439-01,684,300,89,73,555,237
439-02,684,300,331,56,408,88
439-03,684,300,386,18,517,44
44-01,720,720,283,248,439,342
44-02,720,720,473,200,571,248
440-01,533,300,93,41,516,300
441-01,533,300,166,114,341,169
441-02,533,300,418,160,484,184
441-03,533,300,134,104,166,115
442-01,450,300,163,129,272,197
443-01,533,300,36,187,143,217
443-02,533,300,120,171,154,178
443-03,533,300,164,165,233,175
443-04,533,300,378,181,533,220
443-05,533,300,44,227,210,294
444-01,458,300,158,151,232,193
444-02,458,300,195,117,237,136
444-03,458,300,327,135,401,163
444-04,458,300,411,155,454,167
444-05,458,300,308,158,362,186
444-06,458,300,244,219,380,300
444-07,458,300,131,86,152,95
444-08,458,300,113,79,127,84
445-01,401,300,73,108,352,229
445-02,401,300,131,26,193,40
446-01,396,300,188,106,223,116
446-02,396,300,182,95,206,105
446-03,396,300,161,89,182,95
446-04,396,300,171,134,205,142
446-05,396,300,178,144,244,163
446-06,396,300,188,174,315,218
446-07,396,300,168,242,214,266
